MatchId,BotType,Result,TimeMs,TotalClicks
548,RandomBot,DEFEAT,0,5
549,RandomBot,DEFEAT,0,2
550,RandomBot,VICTORY,0,1
551,RandomBot,DEFEAT,0,2
552,RandomBot,VICTORY,0,2
553,RandomBot,DEFEAT,0,2
554,RandomBot,DEFEAT,0,2
555,RandomBot,DEFEAT,0,5
556,RandomBot,DEFEAT,0,3
557,RandomBot,DEFEAT,0,4
558,RandomBot,VICTORY,0,2
559,RandomBot,DEFEAT,0,3
560,RandomBot,DEFEAT,0,3
561,RandomBot,DEFEAT,0,2
562,RandomBot,DEFEAT,0,2
563,RandomBot,DEFEAT,0,3
564,RandomBot,DEFEAT,0,7
565,RandomBot,DEFEAT,0,2
566,RandomBot,VICTORY,0,1
567,RandomBot,DEFEAT,0,3
568,RandomBot,DEFEAT,0,6
569,RandomBot,DEFEAT,0,6
570,RandomBot,DEFEAT,0,6
571,RandomBot,VICTORY,0,2
572,RandomBot,DEFEAT,0,2
573,RandomBot,VICTORY,0,3
574,RandomBot,DEFEAT,0,2
575,RandomBot,DEFEAT,0,3
576,RandomBot,VICTORY,0,1
577,RandomBot,DEFEAT,0,2
578,RandomBot,DEFEAT,0,1
579,RandomBot,DEFEAT,0,2
580,RandomBot,DEFEAT,0,3
581,RandomBot,DEFEAT,0,3
582,RandomBot,DEFEAT,0,3
583,RandomBot,DEFEAT,0,3
584,RandomBot,DEFEAT,0,2
585,RandomBot,VICTORY,0,2
586,RandomBot,DEFEAT,0,3
587,RandomBot,DEFEAT,0,3
588,RandomBot,DEFEAT,0,3
589,RandomBot,DEFEAT,0,2
590,RandomBot,DEFEAT,0,1
591,RandomBot,DEFEAT,0,2
592,RandomBot,DEFEAT,0,4
593,RandomBot,DEFEAT,0,1
594,RandomBot,DEFEAT,0,2
595,RandomBot,DEFEAT,0,4
596,RandomBot,DEFEAT,0,3
597,RandomBot,DEFEAT,0,2
598,RandomBot,VICTORY,0,2
599,RandomBot,VICTORY,0,1
600,RandomBot,DEFEAT,0,3
601,RandomBot,DEFEAT,0,3
602,RandomBot,DEFEAT,0,2
603,RandomBot,DEFEAT,0,2
604,RandomBot,DEFEAT,0,5
605,RandomBot,VICTORY,0,1
606,RandomBot,VICTORY,0,3
607,RandomBot,VICTORY,0,1
608,RandomBot,DEFEAT,0,2
609,RandomBot,DEFEAT,0,2
610,RandomBot,DEFEAT,0,3
611,RandomBot,DEFEAT,0,2
612,RandomBot,VICTORY,0,2
613,RandomBot,VICTORY,0,3
614,RandomBot,DEFEAT,0,3
615,RandomBot,DEFEAT,0,3
616,RandomBot,DEFEAT,0,4
617,RandomBot,VICTORY,0,2
618,RandomBot,VICTORY,0,1
619,RandomBot,DEFEAT,0,6
620,RandomBot,VICTORY,0,3
621,RandomBot,DEFEAT,0,2
622,RandomBot,DEFEAT,0,1
623,RandomBot,DEFEAT,0,4
624,RandomBot,DEFEAT,0,3
625,RandomBot,VICTORY,0,1
626,RandomBot,DEFEAT,0,2
627,RandomBot,DEFEAT,0,4
628,RandomBot,DEFEAT,0,5
629,RandomBot,DEFEAT,0,3
630,RandomBot,DEFEAT,0,4
631,RandomBot,DEFEAT,0,2
632,RandomBot,DEFEAT,0,2
633,RandomBot,DEFEAT,0,3
634,RandomBot,VICTORY,0,1
635,RandomBot,DEFEAT,0,3
636,RandomBot,VICTORY,0,5
637,RandomBot,DEFEAT,0,5
638,RandomBot,DEFEAT,0,3
639,RandomBot,DEFEAT,0,3
640,RandomBot,VICTORY,0,3
641,RandomBot,DEFEAT,0,3
642,RandomBot,DEFEAT,0,3
643,RandomBot,DEFEAT,0,5
644,RandomBot,VICTORY,0,1
645,RandomBot,DEFEAT,0,2
646,RandomBot,DEFEAT,0,4
647,RandomBot,DEFEAT,0,5
648,RandomBot,DEFEAT,0,2
649,RandomBot,DEFEAT,0,3
650,RandomBot,DEFEAT,0,2
651,RandomBot,DEFEAT,0,2
652,RandomBot,DEFEAT,0,3
653,RandomBot,DEFEAT,0,2
654,RandomBot,DEFEAT,0,2
655,RandomBot,DEFEAT,0,2
656,RandomBot,VICTORY,0,3
657,RandomBot,DEFEAT,0,3
658,RandomBot,DEFEAT,0,3
659,RandomBot,DEFEAT,0,4
660,RandomBot,DEFEAT,0,3
661,RandomBot,DEFEAT,0,2
662,RandomBot,DEFEAT,0,6
663,RandomBot,DEFEAT,0,7
664,RandomBot,DEFEAT,0,2
665,RandomBot,DEFEAT,0,2
666,RandomBot,DEFEAT,0,2
667,RandomBot,DEFEAT,0,2
668,RandomBot,DEFEAT,0,2
669,RandomBot,DEFEAT,0,3
670,RandomBot,DEFEAT,0,5
671,RandomBot,VICTORY,0,3
672,RandomBot,DEFEAT,0,4
673,RandomBot,DEFEAT,0,3
674,RandomBot,VICTORY,0,1
675,RandomBot,VICTORY,0,1
676,RandomBot,DEFEAT,0,2
677,RandomBot,DEFEAT,0,2
678,RandomBot,DEFEAT,0,4
679,RandomBot,DEFEAT,0,1
680,RandomBot,VICTORY,0,1
681,RandomBot,VICTORY,0,1
682,RandomBot,VICTORY,0,1
683,RandomBot,DEFEAT,0,1
684,RandomBot,DEFEAT,0,2
